date_received,Link to complaint,action_taken,Country of Origin
2021-10-27T00:00:00.000Z,https://lumendatabase.org/notices/25565711,Yes,Indonesia
2021-10-27T00:00:00.000Z,https://lumendatabase.org/notices/25573464,Yes,Turkey
2021-10-27T00:00:00.000Z,https://lumendatabase.org/notices/25568991,Partial,Turkey
2021-10-27T00:00:00.000Z,https://lumendatabase.org/notices/25610387,Yes,Turkey
2021-10-27T00:00:00.000Z,https://lumendatabase.org/notices/25572245,Yes,Turkey
2021-10-28T00:00:00.000Z,https://lumendatabase.org/notices/25751909,Yes,Taiwan
2021-10-28T00:00:00.000Z,https://lumendatabase.org/notices/25572158,Yes,Turkey
2021-10-29T00:00:00.000Z,https://lumendatabase.org/notices/25735296,Partial,India
2021-10-29T00:00:00.000Z,https://lumendatabase.org/notices/25639209,Partial,Unknown
2021-11-01T00:00:00.000Z,https://lumendatabase.org/notices/25619739,Yes,Brazil
2021-11-01T00:00:00.000Z,https://lumendatabase.org/notices/25657730,Yes,India
2021-11-01T00:00:00.000Z,https://lumendatabase.org/notices/25619169,Yes,Turkey
2021-11-02T00:00:00.000Z,https://lumendatabase.org/notices/25729332,Partial,India
2021-11-03T00:00:00.000Z,https://lumendatabase.org/notices/25786354,Partial,India
2021-11-03T00:00:00.000Z,https://lumendatabase.org/notices/25729924,Partial,India
2021-11-03T00:00:00.000Z,https://lumendatabase.org/notices/26338623,Yes,Russia
2021-11-03T00:00:00.000Z,https://lumendatabase.org/notices/26338700,Yes,Russia
2021-11-03T00:00:00.000Z,https://lumendatabase.org/notices/26338747,Yes,Russia
2021-11-04T00:00:00.000Z,https://lumendatabase.org/notices/27211986,Yes,Russia
2021-11-04T00:00:00.000Z,https://lumendatabase.org/notices/27211987,Yes,Russia
2021-11-04T00:00:00.000Z,https://lumendatabase.org/notices/25654961,Yes,Turkey
2021-11-05T00:00:00.000Z,https://lumendatabase.org/notices/25664997,Yes,France
2021-11-05T00:00:00.000Z,https://lumendatabase.org/notices/25665020,Yes,France
2021-11-05T00:00:00.000Z,https://lumendatabase.org/notices/25729852,Partial,India
2021-11-06T00:00:00.000Z,https://lumendatabase.org/notices/25729608,Partial,India
2021-11-06T00:00:00.000Z,https://lumendatabase.org/notices/25729684,Partial,India
2021-11-07T00:00:00.000Z,https://lumendatabase.org/notices/25729471,Partial,India
2021-11-09T00:00:00.000Z,https://lumendatabase.org/notices/25704676,Yes,France
2021-11-10T00:00:00.000Z,https://lumendatabase.org/notices/25713044,Yes,Turkey
2021-11-10T00:00:00.000Z,https://lumendatabase.org/notices/25713136,Yes,Turkey
2021-11-11T00:00:00.000Z,https://lumendatabase.org/notices/25722596,Yes,Indonesia
2021-11-11T00:00:00.000Z,https://lumendatabase.org/notices/25742311,Partial,Turkey
2021-11-11T00:00:00.000Z,https://lumendatabase.org/notices/25719715,Yes,Turkey
2021-11-11T00:00:00.000Z,https://lumendatabase.org/notices/25719717,Yes,Turkey
2021-11-12T00:00:00.000Z,https://lumendatabase.org/notices/25798137,Partial,India
2021-11-16T00:00:00.000Z,https://lumendatabase.org/notices/25806742,,India
2021-11-17T00:00:00.000Z,https://lumendatabase.org/notices/26338789,Yes,Russia
2021-11-17T00:00:00.000Z,https://lumendatabase.org/notices/26338855,Yes,Russia
2021-11-18T00:00:00.000Z,https://lumendatabase.org/notices/25755053,Yes,Brazil
2021-11-18T00:00:00.000Z,https://lumendatabase.org/notices/27211988,Yes,Russia
2021-11-18T00:00:00.000Z,https://lumendatabase.org/notices/27235563,Yes,Russia
2021-11-18T00:00:00.000Z,https://lumendatabase.org/notices/27235754,Yes,Russia
2021-11-20T00:00:00.000Z,https://lumendatabase.org/notices/25759513,Yes,France
2021-11-20T00:00:00.000Z,https://lumendatabase.org/notices/25759520,Yes,France
2021-11-20T00:00:00.000Z,https://lumendatabase.org/notices/25758756,Yes,Turkey
2021-11-22T00:00:00.000Z,https://lumendatabase.org/notices/25762124,Partial,Korea
2021-11-22T00:00:00.000Z,https://lumendatabase.org/notices/25762129,Yes,Turkey
2021-11-25T00:00:00.000Z,https://lumendatabase.org/notices/25786660,Partial,Turkey
2021-11-26T00:00:00.000Z,https://lumendatabase.org/notices/25781378,Yes,India
2021-11-26T00:00:00.000Z,https://lumendatabase.org/notices/25781393,Yes,India
